Multiplicative Depth,Top 1 Accuracy% ,Variant,Model
5,66.05,PolyApprox-1,LeNet
5,68.6,PolyApprox-2,LeNet
5,64,Square,LeNet
3,69.16,PKN (Ours),LeNet
8,78.25,PolyApprox-1,AlexNet
8,76.93,PolyApprox-2,AlexNet
8,69.8,Square,AlexNet
6,79.97,PKN (Ours),AlexNet
16,88.42,PolyApprox-1,VGG16
16,87.35,PolyApprox-2,VGG16
16,80.11,Square,VGG16
14,91.5,PKN (Ours),VGG16
18,88.97,PolyApprox-1,ResNet18
18,89.42,PolyApprox-2,ResNet18
18,84.17,Square,ResNet18
18,90.11,PKN (Ours),ResNet18
14,88.71,PolyApprox-1,ResNet14
14,89.84,PolyApprox-2,ResNet14
14,84.47,Square,ResNet14
14,91.03,PKN (Ours),ResNet14
10,88.58,PolyApprox-1,ResNet10
10,89.64,PolyApprox-2,ResNet10
10,85.07,Square,ResNet10
10,91.88,PKN (Ours),ResNet10
